동명,주차장수,면적,인구수,생활유동인구,자동차등록,대중교통,사업체현황
신림동,6409,54,23128,1282461,4633,401274,4898
신사1동,8968,84,27231,889110,8054,728826,3922
신사2동,5289,100,20330,512511,6307,542393,3710
신사동,6694,64,24838,613083,7876,1214953,17274
신사동,17489,189,16213,2630261,5107,1214953,17274
신수동,12180,78,22834,837488,7459,67352,4602
신원동,3634,55,18675,495955,3301,70091,2418
신월1동,6932,65,20693,608719,8212,89568,4604
신월2동,8427,61,20819,378561,6865,199615,3210
신월3동,4554,87,15372,430526,5732,73127,2974
신월4동,7186,52,18012,290115,6444,172809,3146
신월5동,5945,69,14750,348221,4559,138743,2704
신월6동,2107,41,13945,192132,6805,64973,3438
신월7동,6439,119,19917,619094,6241,181548,3492
신정1동,6564,70,20487,591709,8262,176306,3196
신정2동,9420,52,19596,549662,6345,61944,3054
신정3동,17757,272,49979,1603712,16082,708466,6378
신정4동,12790,101,33343,1530999,9013,683108,9110
신정6동,6225,96,24552,771522,8837,140056,2016
신정7동,9367,121,29171,898764,9229,320206,2960
신촌동,19554,263,23759,3597400,3996,1822812,10808
쌍문1동,7633,124,21658,576033,6449,238125,2792
쌍문2동,6100,54,18864,772522,4956,257467,3424
쌍문3동,5390,50,16768,553091,3861,338504,2736
쌍문4동,4680,52,18643,516384,5448,156995,1808
아현동,5170,76,25686,932674,8377,694972,4978
안암동,9092,133,16527,1262951,3124,573580,3788
암사1동,16276,102,34782,1095847,10350,120096,5508
암사2동,5912,118,15252,614552,5030,513785,2360
암사3동,8278,251,17947,559885,6284,61991,1986
압구정동,20358,253,26446,2758852,12272,1798967,12698
약수동,6309,48,16889,555722,4737,574878,2500
양재1동,27696,576,43408,2579246,21321,1973627,11618
양재2동,30475,758,22144,2452133,12855,639523,17026
양평1동,9916,88,18487,807118,9852,316993,8996
양평2동,11839,300,22499,1224501,12009,466341,8048
여의동,50733,840,33420,6694985,21157,3945622,30610
역삼1동,53889,235,36590,7837310,21372,3332903,48438
역삼2동,24847,115,36378,2290766,15305,380763,12818
역촌동,14088,116,45752,1236849,12257,284484,7466
연남동,6938,64,15899,1011596,4130,197313,6270
연희동,15099,305,37734,1781650,10139,796873,7366
염리동,30949,44,17657,624464,5167,136302,2104
염창동,17563,174,41764,1205508,15455,310058,6410
영등포동,14693,126,29901,3396328,10480,1209417,29498
영등포본동,7133,102,23152,923504,6174,708862,4106
오금동,17318,165,38654,1472831,13855,502638,7314
오류1동,8570,59,23155,524184,6904,353904,3420
오류2동,18114,320,39026,1896521,14220,583508,4686
오륜동,13759,317,18079,689489,6695,530860,1456
옥수동,10703,194,26309,974594,8850,451660,2852
왕십리2동,5083,41,16819,406451,4454,464030,2404
왕십리도선동,13483,72,26910,1603432,8105,251234,6512
용강동,7080,84,22038,1260538,9505,487330,8650
용답동,6299,231,12568,0,7390,1071792,5218
용문동,4268,28,11985,426070,3408,75952,1868
용산2가동,1199,196,10775,470270,2144,437767,1934
용신동,17042,161,33055,2069505,9797,1790650,14220
우이동,6489,1028,20678,1006243,5882,340492,3036
우장산동,20054,136,43129,1124382,13888,855329,5220
원효로1동,8518,59,16577,925444,6326,197991,5792
원효로2동,5281,71,13875,638399,5032,127934,3422
월계1동,9416,116,22240,1063747,6905,378122,3898
월계2동,9993,194,26704,695258,7851,324260,2698
월계3동,9177,117,30069,920965,8872,355950,2952
월곡1동,9788,81,26525,1031174,7513,296013,3724
월곡2동,7027,136,19896,1003749,5330,591945,4338
위례동,13602,255,39206,1328677,13024,348495,2390
은천동,11028,78,33631,868624,8725,380394,4832
을지로동,4865,60,1914,1451789,1713,1405801,20970
응봉동,3161,57,15458,398757,4639,140946,1244
응암1동,8520,120,33287,1192681,9301,519408,5228
응암2동,8060,78,28107,528694,8461,137235,2378
응암3동,7969,63,24637,905089,5754,259996,5058
이문1동,6964,104,20870,968380,4094,335697,3228
이문2동,6603,69,20417,632637,5353,225814,2012
이촌1동,10739,286,26632,1015441,12516,153531,2542
이촌2동,2194,122,8374,170280,3493,60441,1102
이태원1동,3678,57,8126,735989,2345,522447,4020
이태원2동,3624,86,10604,647021,2536,141263,2498
이화동,9607,78,7705,2072661,1706,1261336,3418
인수동,9204,328,30563,1024585,7567,228370,4548
인헌동,6826,108,26154,946946,5906,871334,3480
일원1동,4307,92,15214,560895,4641,107485,3088
일원2동,6040,124,17585,561176,6220,285196,1738
일원본동,10095,258,23291,1281404,8384,449050,1460
자양1동,7170,57,23134,911546,7575,192136,5010
자양2동,9853,168,24930,907894,8384,177425,4548
자양3동,14288,120,28330,1399531,9413,164614,4064
자양4동,5555,116,21296,1242324,4919,523986,4794
잠실2동,18914,218,35145,1235537,12331,734028,2452
잠실3동,17339,149,34475,2329393,12002,475680,4412
잠실4동,11708,156,21376,751632,10094,593292,1282
잠실6동,19476,279,16905,2843605,12816,2960888,7204
잠실7동,3806,60,9564,360375,3619,511758,604
잠실본동,13749,94,28439,1785625,8821,402915,8872
잠원동,15251,176,26946,1502070,9927,486143,7948
장안1동,19212,125,38794,1264734,13088,462198,13694
장안2동,14695,109,32791,1389086,10615,375202,8128
장위1동,5733,70,24511,716291,6521,225496,2816
장위2동,4645,67,13953,444207,3311,397403,3156
장위3동,2433,65,15980,325044,5160,180586,1948
장지동,26472,137,29693,1116660,11057,662966,4036
장충동,5467,136,5301,737289,1308,375539,2128
전농1동,11351,119,29699,1538891,7621,1265446,6092
전농2동,7280,86,18876,660238,5521,224860,2448
정릉1동,6658,44,18377,492357,6147,389886,2440
정릉2동,7362,117,23268,786363,6396,190573,2782
정릉3동,6426,371,16210,502294,3647,217080,2072
정릉4동,9638,313,25322,770405,7265,473360,2928
제기동,9502,118,26577,1537557,6468,710523,10886
조원동,7186,67,18786,1386006,4718,861213,5386
종로1.2.3.4가동,19276,235,8595,5733235,5835,4076728,37156
종로5.6가동,5276,60,5476,1304364,1789,1695928,16712
종암동,13690,146,40325,1205805,10720,459436,5566
중계1동,10701,63,26877,784415,8500,189158,2830
중계2.3동,9386,90,34326,1113672,8582,600951,4112
중계4동,6220,170,19975,618283,5771,197239,2774
중계본동,9342,197,24009,1021687,7870,154664,3308
중곡1동,5481,62,15862,612899,4831,105210,4554
중곡2동,6742,55,21739,840544,5266,166814,4850
중곡3동,5852,60,16357,535144,3990,365463,3626
중곡4동,8709,232,28954,1077439,7471,116951,4484
중림동,5365,48,12351,574146,3857,97992,2730
중앙동,4591,39,15487,593164,2986,330965,3448
중화1동,4704,64,19784,539756,5613,130120,3036
중화2동,7629,101,25315,890991,6202,565038,5192
증산동,5287,81,15034,395794,4635,481946,2760
진관동,29710,1153,56012,2579626,18022,1097636,6142
창1동,6763,88,24827,774060,8140,946457,4140
창2동,10221,105,29337,1104526,8170,223201,4000
